"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
197106	-0.1	1.24	-1.08	2.05	-1.32	0.6432210427	0.0272784983	0.0074441687
197107	-3.7	-3.67	-6.95	-2.17	-3.86	0.6677306245	0.0257963205	0.0024630542
197108	6.7	2.64	3.63	3.15	6.98	0.6382575968	0.0267819627	0.0024570025
197109	0.17	-0.86	-0.95	0.66	-0.42	0.6460848296	0.0279344169	0
197110	-4.31	-4.22	-3.52	-2.47	-4.21	0.6831942789	0.029243829	0.0024509804
197111	0.01	-0.71	1.31	0.69	-0.27	0.6894892583	0.0294519101	0
197112	8.88	9.36	10.02	7.79	8.22	0.6439002471	0.0340233587	0.0048899756
197201	2.12	1.8	5.97	2.63	3.36	0.6353569726	0.0330751166	0
197202	3.47	3	1.36	7.12	2.25	0.6175858985	0.0330297786	0.00486618
197203	2.16	-0.17	0.65	0.46	2.29	0.6459019879	0.0317231825	0.0024213075
197204	0.23	0.46	0.19	1.1	1.79	0.6367838016	0.0324918322	0.0024154589
197205	0.17	2.17	2.96	3.71	-0.63	0.6324423349	0.0306570665	0.0024096386
197206	-2.64	-1.78	-2.58	2.54	-4.51	0.6540154785	0.0341993895	0.0024038462
197207	-2.01	-0.03	0.89	3.1	-2.96	0.6570495491	0.0333250925	0.0047961631
197208	1.11	5.49	3.54	1.05	3.55	0.6304670395	0.0318487846	0.0023866348
197209	-1.38	-0.7	0.45	-0.43	-1.74	0.6373850011	0.0328697745	0.0023809524
197210	-0.53	2.52	-1.59	1.5	1.12	0.6358841259	0.0323534438	0.0047505938
197211	7	5.13	3.95	-0.53	5.12	0.5967334833	0.0309522498	0.0023640662
197212	1.36	0.51	1.81	3.73	-0.76	0.5956745946	0.0342034837	0.0023584906
197301	-5.26	-1.22	0.61	-1.18	-7.47	0.6081960321	0.0356473121	0.0023529412
197302	-5.6	-3.75	-3.54	-0.71	-6.09	0.6361837352	0.036299867	0.0070422535
